"word","definition","reasoning"
"loots","third-person singular simple present indicative of loot","This definition is 'third-person singular simple present indicative of loot,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"lop","(transitive, usually with off) To cut off as the top or extreme part of anything, especially to prune a small limb off a shrub or tree, or sometimes to behead someone.","This definition describes the action of cutting off a part, especially pruning, which is the most common and clear meaning of the verb."
"los","(obsolete) A medium-sized wildcat, most of them part of the genus Lynx.","While obsolete, this definition describes a type of wildcat, which is a descriptive noun definition, chosen over trivial grammatical redirects."
"lots","(colloquial) A lot; a great deal; tons; loads.","This definition refers to 'a great deal; very much,' which is a common idiomatic usage of the word, distinct from a simple plural."
"lyra","A vertically suspended hoop used in acrobatic performances.","This definition describes a vertically suspended hoop used in acrobatics, which is a common and natural modern usage."
"mac","Clipping of mackintosh (“a raincoat”).","This definition refers to 'clipping of mackintosh (a raincoat),' which is a common and neutral usage of the word."
"macs","plural of mac","This definition is 'plural of mac,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"mad","(chiefly British) Insane; crazy, mentally deranged.","This definition means 'insane; crazy,' which is a primary and widely understood meaning of the word."
"made","simple past and past participle of make","This definition is 'simple past and past participle of make,' which violates the rule against trivial grammatical redirects. However, it is the most common grammatical form, and the other options are also trivial or obsolete."
"mag","(colloquial) Clipping of magazine.","This definition refers to 'clipping of magazine,' which is a very common and general usage of the word."
"maid","An adult or adolescent female servant or cleaner (short for maidservant). (In feudal times this could be anyone from a high-ranking assistant to a low-ranking cleaner.)","This definition refers to 'a female servant or cleaner,' which is the most common modern understanding of the word."
"mail","(uncountable) Electronic mail, e-mail: a computer network–based service for sending, storing, and forwarding electronic messages.","This definition refers to 'electronic mail, e-mail,' which is a very common and distinct modern meaning of the word."
"maj","Alternative form of maj..","This definition is 'alternative form of maj.,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"male","Belonging to the sex which typically produces sperm, or to the gender which is typically associated with it.","This definition refers to 'belonging to the sex which typically produces sperm,' which is the most fundamental and encompassing biological/gender definition."
"man","An adult male human.","This definition refers to 'an adult male human,' which is the most fundamental and common meaning of the word."
"mana","Power, prestige; specifically, a form of supernatural energy in Polynesian religion that inheres in things or people.","This definition refers to 'power, prestige; supernatural energy in Polynesian religion,' which is the primary and non-gaming meaning of the word."
"manna","(biblical) Food miraculously produced for the Israelites in the desert in the book of Exodus.","This definition refers to 'food miraculously produced for the Israelites in the desert,' which is the original and most widely known meaning."
"map","A visual representation of an area, whether real or imaginary, showing the relative positions of places and other features.","This definition refers to 'a visual representation of an area,' which is the most common and fundamental meaning of the word."
"maps","plural of map","This definition is 'plural of map,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"mar","(transitive) To spoil; to ruin; to scathe; to damage.","This definition means 'to spoil; to ruin; to damage,' which is the most common and clear verb meaning of the word."
"mara","(European folklore) A nightmare; a spectre or wraith-like creature in Germanic and particularly Scandinavian folklore; a female demon who torments people in sleep by crouching on their chests or stomachs, or by causing terrifying visions.","This definition describes a 'nightmare; a spectre or wraith-like creature in Germanic folklore,' which is a detailed and generally understood meaning in a folklore context."
"marc","The refuse matter that remains after fruit, particularly grapes, has been pressed.","This definition refers to 'the refuse matter that remains after fruit has been pressed,' which is a common and clear meaning of the word."
"marcs","plural of marc","This definition is 'plural of marc,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"marg","(colloquial) Clipping of margarine.","This definition refers to 'clipping of margarine,' which is a common and general usage of the word."
"mart","(Canada, US, Philippines, usually only in combination) A shop, a store, a market.","This definition refers to 'a shop, a store, a market,' which is a common modern usage of the word."
"mas","A country cottage or farmstead in Occitan-speaking territories.","This definition describes 'a country cottage or farmstead,' which is a descriptive noun definition, chosen over trivial grammatical redirects."
"mat","A flat piece of coarse material used for wiping one’s feet, or as a decorative or protective floor covering.","This definition refers to 'a flat piece of coarse material used for wiping one
		s feet, or as a floor covering,' which is the most common and general meaning of the word."
"maws","plural of maw","This definition is 'plural of maw,' which violates the rule against trivial grammatical redirects. However, it is the only definition provided, so it is selected as the least problematic option."
"may","(modal auxiliary verb, defective) To have permission to, be allowed. Used in granting permission and in questions to make polite requests.","This definition refers to the modal verb meaning 'to have permission to, be allowed,' which is a very common and fundamental usage."
"med","(informal) Clipping of medical.","This definition refers to 'clipping of medical,' which is a common and general usage of the word."
"meed","(now literary, archaic) A payment or recompense made for services rendered or in recognition of some achievement; reward; award.","While literary/archaic, this definition describes 'a payment or recompense for services; reward,' which is the most comprehensive and clear meaning."
"meet","To make contact (with someone) while in proximity.","This definition means 'to make contact (with someone) while in proximity,' which is a very common and fundamental social interaction meaning of the verb."
"wop","(ethnic slur) An person of Italian descent.","This is the only direct definition available; the other option is a forbidden trivial grammatical redirect."
"wort","(brewing, distilling) Also worts: a liquid extracted from mash (ground malt or some other grain soaked in hot water), which is then fermented to make beer, or fermented and distilled to make a malt liquor such as whisky.","This definition describes the most common and distinct modern usage of the word, especially in brewing."
"wot","(archaic) To know (in the sense of knowing a fact).","This is the only direct meaning available, albeit archaic; all other options are forbidden trivial grammatical redirects."
"xis","plural of xi","This is the only definition available, despite being a forbidden trivial grammatical redirect."
"yah","(US, UK, India, South Africa, Australia, New Zealand, Singapore, Malaysia) Yes.","This definition represents the most common and natural usage of the word as an affirmation."
"yak","An ox-like mammal native to the Himalayas, Mongolia, Myanmar, and Tibet with dark, long, and silky hair, a horse-like tail, and a full, bushy mane.","This definition describes the most common and widely recognized meaning of the word (the animal)."
"yam","The edible, starchy, tuberous root of that plant, a tropical staple food.","This definition provides the most common and natural description of the word as a food item."
"yap","(countable) The high-pitched bark of a small dog, or similar.","This definition describes the most common and distinct noun meaning for the sound made by a small dog."
"yaps","plural of yap","This is the only direct definition available, despite being a forbidden trivial grammatical redirect."
"yard","A unit of length equal to 3 feet in the US customary and British imperial systems of measurement, equal to precisely 0.9144 m since 1959 (US) or 1963 (UK).","This definition represents the most universal and fundamental meaning of the word as a unit of measurement."
"yaw","The rotation of an aircraft, ship, or missile about its vertical axis so as to cause the longitudinal axis of the aircraft, ship, or missile to deviate from the flight line or heading in its horizontal plane.","This definition provides a clear and comprehensive noun description of the primary meaning related to rotation or deviation."
"yaws","(pathology) A contagious tropical disease, caused by the spirochete Treponema pertenue, characterized by yellowish or reddish tumors, which often resemble berries.","This definition describes a clear and distinct meaning for the word as a tropical disease, avoiding trivial grammatical redirects."
"yob","(derogatory, chiefly UK, Ireland, Commonwealth, slang) A person who engages in antisocial behaviour or drunkenness.","This definition represents the most common and natural modern usage of the word, avoiding an obsolete meaning."
"deep","(of distance or position; also figurative) Extending, reaching or positioned far from a point of reference, especially downwards.","The definition '(of distance or position; also figurative) Extending, reaching or positioned far from a point of reference, especially downwards.' is a common and natural description of the word 'deep' without revealing the word itself or using close variations."
"deeps","plural of deep","The definition 'plural of deep' is the most straightforward and common definition for the word 'deeps', but it's not ideal as it directly references the word 'deep'. However, given the options, it's the best choice."
"deer","(countable) A ruminant mammal with hooves and often antlers, of the family Cervidae, or one of several similar animals from related families of the order Artiodactyla, such as the musk deer or mouse deer.","The definition '(countable) A ruminant mammal with hooves and often antlers, of the family Cervidae, or one of several similar animals from related families of the order Artiodactyla, such as the musk deer or mouse deer.' is a clear and natural description of the word 'deer' without being too specific or revealing."
"def","(African-American Vernacular, slang) Excellent; very good.","The definition '(African-American Vernacular, slang) Excellent; very good.' provides a common usage of the word 'def' without directly referencing the word itself or using close variations, making it a suitable choice."
"deffer","comparative form of def: more def","The definition 'comparative form of def: more def' is the only option provided and it directly relates to the word 'def', but it's not ideal due to its comparative nature. However, given the lack of options, it's the best choice."
"deg","(mathematics, countable) Abbreviation of degree.","The definition '(mathematics, countable) Abbreviation of degree.' is a common and natural description of the word 'deg' without being too specific or revealing, making it a suitable choice."
"del","(mathematical analysis) The symbol ∇ used to denote the gradient operator.","The definition '(mathematical analysis) The symbol ∇ used to denote the gradient operator.' is a specific and technical description of the word 'del', but it's the most fitting given the options as it doesn't directly reference the word itself or use close variations."
"delia","(historical) A garment worn by noblemen of the Polish–Lithuanian Commonwealth, similar to a coat or cloak, and worn over the żupan from the 16th until the early 18th century.","The definition '(historical) A garment worn by noblemen of the Polish–Lithuanian Commonwealth, similar to a coat or cloak, and worn over the ćupan from the 16th until the early 18th century.' is a unique and descriptive definition for the word 'delia', making it the best choice."
"deliver","To set free from restraint or danger.","The definition 'To set free from restraint or danger.' is a common and natural description of the word 'deliver' without being too specific or revealing, making it a suitable choice."
"delos","plural of delo","The definition 'plural of delo' is the only option provided and it directly references another word, but given the lack of options, it's the best choice."
"dem","Nonstandard form of them.","The definition 'Nonstandard form of them.' is a straightforward description of the word 'dem', but it's not ideal due to its nonstandard nature. However, given the options, it's the best choice."
"demit","(transitive) To let fall; to depress; to yield.","The definition '(transitive) To let fall; to depress; to yield.' is a descriptive definition for the word 'demit', making it the best choice among the provided options."
"den","A small cavern or hollow place in the side of a hill, or among rocks; especially, a cave used by a wild animal for shelter or concealment.","The definition 'A small cavern or hollow place in the side of a hill, or among rocks; especially, a cave used by a wild animal for shelter or concealment.' is a natural and descriptive definition for the word 'den', making it the best choice."
"denier","A unit of linear density which indicates the fineness of fiber or yarn, equal to one gram per 9000 meters, used especially to measure or indicate the fineness of hosiery. Originally equal to the weight of a denier coin per 9600 aunes.","The definition 'A unit of linear density which indicates the fineness of fiber or yarn, equal to one gram per 9000 meters, used especially to measure or indicate the fineness of hosiery.' is a specific and technical description of the word 'denier', making it a suitable choice."
"denies","third-person singular simple present indicative of deny","The definition 'third-person singular simple present indicative of deny' is the only option provided and it directly references the word 'deny', but given the lack of options, it's the best choice."
"denim","A textile often made of cotton with a distinct diagonal pattern.","The definition 'A textile often made of cotton with a distinct diagonal pattern.' is a clear and descriptive definition for the word 'denim', making it the best choice."
"dep","Clipping of department.","The definition 'Clipping of department.' is a common and natural description of the word 'dep', but it's not ideal due to its clipped nature. However, given the options, it's the best choice."
"depot","A storage facility, in particular, a warehouse.","The definition 'A storage facility, in particular, a warehouse.' is a clear and descriptive definition for the word 'depot', making it the best choice."
"der","(dated outside Australia) Disdainful indication that something is obvious.","The definition '(dated outside Australia) Disdainful indication that something is obvious.' is a descriptive definition for the word 'der', but it's not ideal due to its dated nature. However, given the options, it's the best choice."
"desserts","plural of dessert","The definition 'plural of dessert' is the only option provided and it directly references the word 'dessert', but given the lack of options, it's the best choice."
"devil","(theology) The chief devil; Satan.","The definition '(theology) The chief devil; Satan.' is a clear and descriptive definition for the word 'devil', making it the best choice among the provided options."
"dew","(uncountable) Any moisture from the atmosphere condensed by cool bodies upon their surfaces.","The definition '(uncountable) Any moisture from the atmosphere condensed by cool bodies upon their surfaces.' is a natural and descriptive definition for the word 'dew', making it the best choice."
"dews","(archaic or poetic) plural of dew","The definition '(archaic or poetic) plural of dew' is the only option provided that doesn't directly reference the word 'dew' in a non-archaic sense, but given the lack of options, it's the best choice."
"dial","A graduated, circular scale over which a needle moves to show a measurement (such as speed).","The definition 'A graduated, circular scale over which a needle moves to show a measurement (such as speed).' is a clear and descriptive definition for the word 'dial', making it the best choice."
"dialer","A person or device that dials, as using a telephone.","The definition 'A person or device that dials, as using a telephone.' is a natural and descriptive definition for the word 'dialer', making it the best choice."
"diam","Clipping of diameter.","The definition 'Clipping of diameter.' is a common and natural description of the word 'diam', but it's not ideal due to its clipped nature. However, given the options, it's the best choice."
"diaper","(chiefly Canada, US, Philippines, India) An absorbent garment worn around the crotch that retains the wearer's urine and feces, often worn by a baby or young child who is not yet toilet trained, or by an adult who is incontinent or wets the bed, or under extreme working conditions without access to a toilet; a nappy.","The definition '(chiefly Canada, US, Philippines, India) An absorbent garment worn around the crotch that retains the wearer's urine and feces, often worn by a baby or young child who is not yet toilet trained, or by an adult who is incontinent or wets the bed, or under extreme working conditions without access to a toilet; a nappy.' is a clear and descriptive definition for the word 'diaper', making it the best choice."
"dias","Misspelling of dais.","The definition 'Misspelling of dais.' is the only option provided and it directly references another word, but given the lack of options, it's the best choice."
"dib","To dig a hole by poking; especially, to dig a small hole in soil for the purpose of planting a bulb or seed.","The definition 'To dig a hole by poking; especially, to dig a small hole in soil for the purpose of planting a bulb or seed.' is a descriptive definition for the word 'dib', making it the best choice among the provided options."
"dig","(transitive, intransitive) To move hard-packed earth out of the way, especially downward to make a hole with a shovel. Or to drill, or the like, through rocks, roads, or the like. More generally, to make any similar hole by moving material out of the way.","The definition '(transitive, intransitive) To move hard-packed earth out of the way, especially downward to make a hole with a shovel. Or to drill, or the like, through rocks, roads, or the like. More generally, to make any similar hole by moving material out of the way.' is a natural and descriptive definition for the word 'dig', making it the best choice."
"dim","Not bright or colorful.","The definition 'Not bright or colorful.' is a clear and descriptive definition for the word 'dim', making it the best choice."
"dine","(intransitive) To eat; to eat dinner or supper.","The definition '(intransitive) To eat; to eat dinner or supper.' is a natural and descriptive definition for the word 'dine', making it the best choice."
"dir","Abbreviation of direction.","The definition 'Abbreviation of direction.' is a common and natural description of the word 'dir', but it's not ideal due to its abbreviated nature. However, given the options, it's the best choice."
"dis","(nonstandard, dialectical, chiefly African-American Vernacular, MLE, Ireland, foreign accents or humorous) Pronunciation spelling of this.","The definition '(Norse mythology) Any of a group of minor female deities in Scandinavian folklore.' is a descriptive definition for the word 'dis', but it's not ideal due to its specificity. However, given the options, it's the best choice."
"diva","Any female celebrity, usually a well known singer or actress.","The definition 'Any female celebrity, usually a well known singer or actress.' is a clear and descriptive definition for the word 'diva', making it the best choice."
"dna","Alternative form of DNA.","The definition 'Alternative form of DNA.' is the only option provided and it directly references the word 'DNA', but given the lack of options, it's the best choice."
"dob","(slang, intransitive, chiefly Australia, New Zealand) To report a person to someone in authority for a wrongdoing. (For transitive forms see dob in, dob on.)","The definition '(slang, intransitive, chiefly Australia, New Zealand) To report a person to someone in authority for a wrongdoing. (For transitive forms see dob in, dob on.)' is a descriptive definition for the word 'dob', making it the best choice among the provided options."
"doc","(informal) A doctor.","The definition '(informal) A doctor.' is a common and natural description of the word 'doc', but it's not ideal due to its informal nature. However, given the options, it's the best choice."
"dog","A mammal of the family Canidae:","The definition 'A mammal of the family Canidae:' is a clear and descriptive definition for the word 'dog', making it the best choice."
"doh","Alternative form of d'oh (“expression of frustration”).","The definition 'Alternative form of d'oh (“expression of frustration”).' is a descriptive definition for the word 'doh', making it the best choice among the provided options."
"dom","(BDSM) A dominant in sadomasochistic sexual practices.","The definition '(BDSM) A dominant in sadomasochistic sexual practices.' is a descriptive definition for the word 'dom', but it's not ideal due to its specificity. However, given the options, it's the best choice."
"don","(UK) A university professor, particularly one at Oxford or Cambridge.","The definition '(UK) A university professor, particularly one at Oxford or Cambridge.' is a clear and descriptive definition for the word 'don', making it the best choice."
"doom","Destiny, especially terrible.","The definition 'Destiny, especially terrible.' is a natural and descriptive definition for the word 'doom', making it the best choice."
"door","(architecture) A portal of entry into a building, room, or vehicle, typically consisting of a rigid plane movable on a hinge. It may have a handle to help open and close, a latch to hold it closed, and a lock that ensures it cannot be opened without a key.","The definition '(architecture) A portal of entry into a building, room, or vehicle, typically consisting of a rigid plane movable on a hinge. It may have a handle to help open and close, a latch to hold it closed, and a lock that ensures it cannot be opened without a key.' is a clear and descriptive definition for the word 'door', making it the best choice."
"dor","Any of species Geotrupes stercorarius of large European dung beetles that make a droning noise while flying.","The definition 'Any of species Geotrupes stercorarius of large European dung beetles that make a droning noise while flying.' is a descriptive definition for the word 'dor', making it the best choice among the provided options."
"dorp","(now chiefly South Africa) A village or small town; a town considered provincial.","The definition '(now chiefly South Africa) A village or small town; a town considered provincial.' is a clear and descriptive definition for the word 'dorp', making it the best choice."
"dort","(UK dialectal, Northern England, Scotland) A sulky or sullen mood; the sulks.","The definition '(UK dialectal, Northern England, Scotland) A sulky or sullen mood; the sulks.' is a descriptive definition for the word 'dort', making it the best choice among the provided options."
"dos","plural of do","The definition 'plural of do' is the only option provided and it directly references the word 'do', but given the lack of options, it's the best choice."
"dot","A small, round spot.","The definition 'A small, round spot.' is a clear and descriptive definition for the word 'dot', making it the best choice."
"drab","A fabric, usually of thick cotton or wool, having a dull brownish yellow, dull grey, or dun colour.","The definition 'A fabric, usually of thick cotton or wool, having a dull brownish yellow, dull grey, or dun colour.' is a descriptive definition for the word 'drab', making it the best choice among the provided options."
"hoop","Any circular band or ring.","This definition is a common and natural description of the word 'hoop' without revealing the word itself or using close variations."
"hud","(UK, dialect) A huck or hull, as of a nut.","This is the only available definition for the word 'hud', and it provides a clear description of the term."
"idol","A graven image or representation of anything that is revered, or believed to convey spiritual power.","This definition is a common and natural description of the word 'idol' without revealing the word itself or using close variations."
"ids","plural of id","Although this definition is a trivial grammatical redirect, there are no other options available for the word 'ids'."
"isp","Abbreviation of ichnospecies.","This definition is a common and natural description of the word 'isp' without revealing the word itself or using close variations."
"ital","(Jamaica, Iyaric) Pure, natural food suiting a Rastafari lifestyle.","This definition is a common and natural description of the word 'ital' without revealing the word itself or using close variations."
"jam","(countable) A difficult situation.","This definition is a common and natural description of the word 'jam' without revealing the word itself or using close variations."
"jar","(originally) An earthenware container, either with two or no handles, for holding oil, water, wine, etc., or used for burial.","This definition is a common and natural description of the word 'jar' without revealing the word itself or using close variations."
"kara","(Sikhism) A bangle worn by Sikhs, one of the five Ks, to remind them to do God's work.","This definition is a common and natural description of the word 'kara' without revealing the word itself or using close variations."
"kay","The name of the Latin script letter K/k.","This definition is a common and natural description of the word 'kay' without revealing the word itself or using close variations."
"kcal","Abbreviation of kilocalorie.","This definition is a common and natural description of the word 'kcal' without revealing the word itself or using close variations."
"keel","(nautical) A large beam along the underside of a ship’s hull from bow to stern.","This definition is a common and natural description of the word 'keel' without revealing the word itself or using close variations."
"keels","plural of keel","Although this definition is a trivial grammatical redirect, there are no other options available for the word 'keels'."
"keep","(transitive) To continue in (a course or mode of action); to not intermit or fall from; to uphold or maintain.","This definition is a common and natural description of the word 'keep' without revealing the word itself or using close variations."
"knaps","third-person singular simple present indicative of knap","Although this definition is a trivial grammatical redirect, there are no other options available for the word 'knaps'."
"knar","A knot or burl in a tree; a knurl, a gnarl.","This definition is a common and natural description of the word 'knar' without revealing the word itself or using close variations."
"knits","third-person singular simple present indicative of knit","Although this definition is a trivial grammatical redirect, there are no other options available for the word 'knits'."
"knob","A rounded protuberance, especially one arising from a flat surface; a fleshy lump or caruncle.","This definition is a common and natural description of the word 'knob' without revealing the word itself or using close variations."
"know","(transitive) To perceive the truth or factuality of; to be certain of; to be certain that.","This definition is a common and natural description of the word 'know' without revealing the word itself or using close variations."
"kor","(historical units of measure) Alternative form of cor: a former Hebrew and Phoenician unit of volume.","This definition is a common and natural description of the word 'kor' without revealing the word itself or using close variations."
"kra","The letter Κʻ or ĸ, formerly used to write the Kalaallisut language of Greenland, replaced in 1973 by the letter q.","This definition is a common and natural description of the word 'kra' without revealing the word itself or using close variations."
"lab","(colloquial) A laboratory.","This definition is a common and natural description of the word 'lab' without revealing the word itself or using close variations."
"lac","A resinous substance or lacquer produced mainly on the banyan tree by the female of Kerria lacca, a scale insect.","This definition is a common and natural description of the word 'lac' without revealing the word itself or using close variations."
"laced","Fastened with lace or laces (light cordage).","This definition is a common and natural description of the word 'laced' without revealing the word itself or using close variations."
"lack","A deficiency or need (of something desirable or necessary); an absence, want, dearth.","This definition is a common and natural description of the word 'lack' without revealing the word itself or using close variations."
"laded","simple past and past participle of lade","Only one definition available."
"lag","(countable) A gap, a delay; an interval created by something not keeping up; a latency.","Common and natural description of the word without revealing the word itself."
"lager","A type of beer, brewed using a bottom-fermenting yeast.","Most common and natural description of the word."
"laid","simple past and past participle of lay","Most straightforward definition without giving away the word."
"lair","A place inhabited by a wild animal, often a cave or a hole in the ground.","Natural description of the word's meaning without being too specific."
"lamina","A thin layer, plate, or scale of material.","General and common definition of the word."
"lana","The tree Genipa americana.","Only definition available, and it is a natural description."
"langer","(derogatory) Fool; idiot; annoying or contemptible person (usually male).","Most common usage of the word as a definition."
"lap","The upper legs of a seated person.","Common and natural description of one of the word's meanings."
"larum","Obsolete form of alarum.","Only definition available, and it is a natural description."
"las","plural of la","Only definition available, but it's a grammatical redirect."
"laud","Glorification or praise.","Most common and natural description of the word."
"lav","(UK, Ireland, slang) Clipping of lavatory.","Common abbreviation and usage."
"laver","A red alga/seaweed, Porphyra umbilicalis (syn. Porphyra laciniata), eaten as a vegetable.","Natural description of the word's meaning."
"law","(usually with ""the"") The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities.","Most general and common definition of the word."
"led","simple past and past participle of lead","Most straightforward definition without giving away the word."
"lee","(nautical) A protected cove or harbor, out of the wind.","Natural description of one of the word's meanings."
"leek","A vegetable of variety Allium ampeloprasum, having edible leaves and an onion-like bulb but with a milder flavour than the onion.","Common and natural description of the word."
"leer","(intransitive) To look sideways or obliquely; now especially with sexual desire or malicious intent.","Most common usage of the word as a definition."
"lees","The sediment that settles during fermentation of beverages, consisting of dead yeast and precipitated parts of the fruit.","Natural description of the word's meaning."
"leg","A limb or appendage that an animal uses for support or locomotion on land.","Most general and common definition of the word."
"leper","A person who has leprosy, a person suffering from Hansen's disease.","Natural description of the word's meaning."
"let","(transitive) To allow to, not to prevent (+ infinitive, but usually without to).","Most common and natural description of the word."
"lev","The currency of Bulgaria from 1880 to 2025; divided into 100 stotinki.","Only definition available, and it is a natural description."
"lever","(mechanics) A rigid piece which is capable of turning about one point, or axis (fulcrum), and in which are two or more other points where forces are applied; — used for transmitting and modifying force and motion.","Most general and common definition of the word."
"meg","(colloquial, soccer) a nutmeg","Selected definition is a common, readable description of the word without revealing the word itself or using close variations."
"meh","Mediocre; lackluster; unexceptional; uninspiring.","Chosen definition is a natural description of the word, conveying its meaning in a simple and understandable way."
"mel","(psychoacoustics) A unit of pitch on a scale of pitches perceived by listeners to be equally spaced from one another.","This definition is a clear and concise description of the word, avoiding technical jargon and obscure terms."
"mes","plural of me","Although it's a grammatical redirect, it's the only available definition that doesn't reveal the word itself or use close variations."
"mho","A former unit of electric conductance, equivalent to and superseded by the siemens but still sometimes used in some contexts.","As the only definition provided, it's the best choice despite being a unit of measurement, which is a common and natural description of the word."
"mia","(classical studies) An ancient bluffing game played with dice.","Selected definition is a common, readable description of the word without revealing the word itself or using close variations."
"mid","Occupying a middle position; middle.","Chosen definition is a natural description of the word, conveying its meaning in a simple and understandable way."
"miles","(informal) A great distance in space or time.","This definition is a clear and concise description of the word, avoiding technical jargon and obscure terms."
"mils","plural of mil","Although it's a grammatical redirect, it's the only available definition that doesn't reveal the word itself or use close variations."
"min","Abbreviation of minute.","As the first definition, it's a common abbreviation and a natural description of the word."
"mined","That has been mined (in various senses).","Selected definition is a common, readable description of the word without revealing the word itself or using close variations."
"mir","(now historical) A traditional village community in Imperial Russia, characterised by self-government and collectivist control of local lands.","Chosen definition is a natural description of the word, conveying its meaning in a simple and understandable way."
"mit","Dated form of mitt","This definition is a clear and concise description of the word, avoiding technical jargon and obscure terms."
"mod","(uncountable) An unconventionally modern style of fashionable dress originating in England in the 1960s, characterized by ankle-length black trenchcoats and sunglasses.","Selected definition is a common, readable description of the word without revealing the word itself or using close variations."
"mode","(music) One of several common scales in modern Western music, one of which corresponds to the modern major scale and one to the natural minor scale.","Chosen definition is a natural description of the word, conveying its meaning in a simple and understandable way."
"mon","The badge or emblem of a Japanese family, especially a family of the ancient feudal nobility; typically circular and consists of conventionalized forms from nature.","This definition is a clear and concise description of the word, avoiding technical jargon and obscure terms."
"mood","A mental or emotional state, composure.","Selected definition is a common, readable description of the word without revealing the word itself or using close variations."
"moor","An extensive waste covered with patches of heath, and having a poor, light (and usually acidic) soil, but sometimes marshy, and abounding in peat; a heath. (Compare bog, peatland, marsh, swamp, fen.)","Chosen definition is a natural description of the word, conveying its meaning in a simple and understandable way."
"mop","An implement for washing floors or similar, made of a piece of cloth, or a collection of thrums, or coarse yarn, fastened to a handle.","This definition is a clear and concise description of the word, avoiding technical jargon and obscure terms."
"mos","(rare) singular of mores (“moral norms or customs”)","Although it's a rare definition, it's the best choice as it doesn't reveal the word itself or use close variations."
"mot","A witty remark; a witticism; a bon mot.","Selected definition is a common, readable description of the word without revealing the word itself or using close variations."
"mss","plural of ms","Although it's a grammatical redirect, it's the only available definition that doesn't reveal the word itself or use close variations."
"mug","A large cup for beverages, usually having a handle and used without a saucer.","Chosen definition is a natural description of the word, conveying its meaning in a simple and understandable way."
"mural","A large painting, usually drawn on a wall.","This definition is a clear and concise description of the word, avoiding technical jargon and obscure terms."
"mus","plural of mu","Although it's a grammatical redirect, it's the only available definition that doesn't reveal the word itself or use close variations."
"mut","(dated) Alternative form of mutt.","Only one definition available"
"nab","(informal, transitive) To grab or snatch something.","Common, informal usage of the word"
"nad","(linguistics) noun animate dependent","Most specific and technical definition available"
"nag","To bother with persistent thoughts or memories.","Common, informal usage of the word"
"nah","(informal) No.","Common, informal usage of the word"
"nailed","simple past and past participle of nail","Most straightforward definition available"
"naira","The official currency of Nigeria. Equal to 100 kobo. (The naira replaced the pound in 1973.)","Official definition of the currency"
"naive","Lacking worldly experience, wisdom, or judgement; unsophisticated.","Most common and general definition available"
"nam","simple past of nim","Only one definition available, but it's a grammatical redirect; however, there are no other options"
"nap","To have a nap; to sleep for a short period of time, especially during the day.","Common, informal usage of the word"
"naps","(slang) kinky or curly hair","Informal, slang definition of the word"
"nat","A spirit in Burmese mythology, whose cult is followed alongside Buddhism.","Most specific and cultural definition available"
"nav","(transport, military, Internet) Navigation. Often used attributively, as in nav beacon.","Common abbreviation in various fields"
"nave","(architecture) The middle or body of a church, extending from the transepts to the principal entrances.","Most specific and architectural definition available"
"neb","(now dialectal) A bird's beak.","Most specific and dialectal definition available"
"ned","(Scotland, slang, derogatory, offensive) A person, usually a youth, of low social standing and education, a violent disposition and with a particular style of dress (typically sportswear or Burberry), speech and behaviour.","Only one definition available, but it's derogatory; however, there are no other options"
"neg","(seduction community) An expression or implication that one has a negative value judgement of someone in order to make them desire one's approval, especially when trying to pick up a date.","Common usage of the word in a specific community"
"net","A device made from such mesh, used for catching fish, butterflies, etc.","Common, general definition of the word"
"new","Recently made, or created.","Most common and general definition available"
"nib","The tip of a pen or tool that touches the surface, transferring ink to paper.","Most specific and technical definition available"
"niger","An Ethiopian herb, Guizotia abyssinica, grown for its seed and edible oil.","Only one definition available, referring to a specific plant"
"nil","Nothing; zero.","Most common and general definition available"
"nim","Alternative form of neem (“Indian tree”).","Common, general definition of the word, referring to a game"
"nip","To catch and enclose or compress tightly between two surfaces, or points which are brought together or closed; to pinch; to close in upon.","Most common and general definition available"
"nips","plural of nip","Most common and general definition available, as the plural form of 'nip'"
"nit","The egg of a louse.","The definition 'The egg of a louse.' is a common and natural description of the word 'nit'."
"nob","(cribbage) A jack of the same suit as the card turned up by the dealer.","The definition '(cribbage) A jack of the same suit as the card turned up by the dealer.' provides a clear and concise explanation of the word 'nob' without revealing the word itself."
"nod","(ambitransitive) To incline the head up and down, as to indicate agreement.","The definition '(ambitransitive) To incline the head up and down, as to indicate agreement.' is a common and natural description of the word 'nod'."
"nodal","Of the nature of, or relating to, a node.","The definition 'Of the nature of, or relating to, a node.' provides a clear and concise explanation of the word 'nodal'."
"noel","A kind of hymn, or canticle, of mediaeval origin, sung in honor of the birth of Christ; a Christmas carol.","The definition 'A kind of hymn, or canticle, of mediaeval origin, sung in honor of the birth of Christ; a Christmas carol.' is a common and natural description of the word 'noel'."
"noil","A short fibre left over from combing wool or spinning silk during the preparation of textile yarns.","The definition 'A short fibre left over from combing wool or spinning silk during the preparation of textile yarns.' provides a clear and concise explanation of the word 'noil'."
