"word1","word2","length","difficulty","reasoning"
"flow","wolf","4","Hard","Both words are moderately difficult to anchor on, with 'flow' being a common term and 'wolf' being a less common word."
"rats","star","4","Hard","Both words are moderately difficult to anchor on, with 'rats' being a common term and 'star' being a less common concept."
"knar","rank","4","Hard","Both words are moderately difficult to anchor on, requiring some domain knowledge."
"dine","enid","4","Hard","Neither definition is immediately obvious, and the words are not commonly known. The definition of 'dine' is a common term, but 'enid' is a zoological term, making it difficult to anchor on either word."
"dan","nad","3","Hard","Neither definition is immediately obvious, and the words are not commonly known, making it hard to anchor on either one."
"liar","rail","4","Hard","Neither definition is immediately obvious, and the words are not commonly known, making it hard to anchor on either one."
"fires","serif","5","Hard","Neither definition is immediately clear, and the words are not well-known."
"draws","sward","5","Hard","Neither definition is immediately clear, and the words are not well-known."
"dig","gid","3","Hard","The definition of 'dig' is a common and easily recognizable action, but the definition of 'gid' is a less common and more obscure disease, making it a harder puzzle."
"decaf","faced","5","Hard","The definition of 'decaf' is a common and easily recognizable term for decaffeinated coffee, but the definition of 'faced' is a less common term related to dressmaking, making it a harder puzzle."
"smart","trams","5","Hard","The definition of 'smart' is a common and easily recognizable term for intellectual knowledge, but the definition of 'trams' is a less common and more obscure term for a type of transportation, making it a harder puzzle."
"deem","meed","4","Hard","The definition of 'deem' is a complex and nuanced concept, making it a harder anchor. The definition of 'meed' is an archaic term, which is less common and requires more thought to anchor on."
"lever","revel","5","Hard","The definition of 'lever' is a complex mechanical concept, making it a harder anchor. The definition of 'revel' is a celebration, which is a less common concept, but still a clear anchor."
"bor","rob","3","Hard","Both definitions are somewhat obscure, making it difficult to anchor on either word."
"trow","wort","4","Hard","Both definitions are somewhat obscure, making it difficult to anchor on either word."
"bah","hab","3","Hard","Neither definition is immediately obvious, making it a hard puzzle."
"dar","rad","3","Hard","Neither definition is immediately obvious, making it a hard puzzle."
"gan","nag","3","Hard","Both words are less common, and the definitions are not immediately recognizable, making it harder to anchor on either word."
"jam","maj","3","Hard","Both words are less common, and the definitions are not immediately recognizable, making it harder to anchor on either word."
"bard","drab","4","Hard","Both words are less common, and the definitions are not immediately recognizable, making it harder to anchor on either word."
"leper","repel","5","Hard","Both words are somewhat obscure, and the definitions are not immediately obvious."
"lager","regal","5","Hard","Both words are somewhat obscure, and the definitions are not immediately obvious."
"depot","toped","5","Hard","The definition of 'depot' is somewhat obscure, and 'toped' is not a familiar term."
"dom","mod","3","Hard","Both definitions are somewhat obscure, and neither word is immediately recognizable."
"cal","lac","3","Hard","Both definitions are somewhat obscure, and neither word is immediately recognizable."
"spat","taps","4","Hard","Both definitions are somewhat obscure, and neither word is immediately recognizable."
"diaper","repaid","6","Hard","The definition of 'diaper' is a bit lengthy and not immediately recognizable, making it a harder anchor for this puzzle."
"fret","terf","4","Hard","The definition of 'fret' is a bit less common, but still recognizable, making it a harder anchor for this puzzle."
"denies","seined","6","Hard","Both definitions are less common and require some knowledge of grammar and nautical terms, making it harder to anchor on either word."
"avis","siva","4","Hard","Both definitions are less common and require some knowledge of obsolete words and birds, making it harder to anchor on either word."
"ailed","delia","5","Hard","Both definitions are less common and require some knowledge of historical garments and medical terms, making it harder to anchor on either word."
"remit","timer","5","Hard","The definition of 'remit' is somewhat technical, and the definition of 'timer' is not immediately obvious, making it harder to anchor on either word."
"raps","spar","4","Hard","Both definitions are moderately difficult, and neither word is immediately obvious."
"gums","smug","4","Hard","Both definitions are moderately difficult, and neither word is immediately obvious."
"lair","rial","4","Hard","Both words are somewhat familiar, but neither definition is immediately obvious. A player needs some domain knowledge or vocabulary to find an anchor."
"emir","rime","4","Hard","The definition for 'emir' is clear, but the word itself is not immediately recognizable. The definition for 'rime' is archaic and not widely known, making it difficult for players to anchor on."
"flor","rolf","4","Hard","The definition for 'flor' is clear, but the word itself is not immediately recognizable. The definition for 'rolf' is clear, but the word itself is not as widely known."
"ante","etna","4","Hard","The definition of 'ante' is a common phrase, but the word itself is not as well-known. The definition of 'etna' is archaic and not immediately recognizable."
"debut","tubed","5","Hard","Both definitions are moderately difficult, and neither word jumps out easily."
"redraw","warder","6","Hard","Both definitions are moderately difficult, and neither word jumps out easily."
"retros","sorter","6","Hard","Both definitions are moderately difficult, and neither word is immediately obvious. The word 'retros' is a plural form of 'retro', and 'sorter' is a common word but still hard to anchor on."
"laver","reval","5","Hard","The definition of 'laver' is less common, and 'reval' is a specialized term, making it harder to anchor on and discover the less common term 'reval'."
"gram","marg","4","Hard","The definition of 'gram' is technical and not immediately recognizable, while 'marg' is a colloquial term that may not be familiar to all players."
"grus","surg","4","Hard","Both words are rare and the definitions are not immediately obvious."
"aryl","lyra","4","Hard","Both words are rare and the definitions are not immediately obvious."
"ait","tia","3","Hard","The definition of 'ait' is somewhat obscure, and 'tia' is a medical term that may not be immediately familiar to all players."
"darter","retrad","6","Hard","Both words are somewhat obscure, and the definition of 'darter' may not be immediately familiar to all players."
"anal","lana","4","Hard","The definition of 'anal' is somewhat technical, and 'lana' is a less familiar term, making it harder to anchor on either one."
"knaps","spank","5","Hard","Both words are somewhat familiar, but neither definition is immediately obvious. The anchor is not clear."
"deffer","reffed","6","Hard","Both words are somewhat familiar, but neither definition is immediately obvious. The anchor is not clear."
"sleets","steels","6","Hard","Both definitions are somewhat technical, and a typical adult English speaker may need to think carefully to anchor on either 'sleets' or 'steels'."
"abut","tuba","4","Hard","Both definitions are somewhat technical and may require domain knowledge to understand."
"auks","skua","4","Hard","Both definitions are somewhat technical and may require domain knowledge to understand."
"stet","tets","4","Hard","The definition of 'stet' is technical and not immediately obvious, making it hard to anchor on. The word 'tets' is also not well-known."
"isp","psi","3","Hard","Both words are moderately difficult to anchor on, with 'isp' being an abbreviation and 'psi' being a term from parapsychology or science fiction."
"mho","ohm","3","Hard","While 'ohm' is a well-known unit of electrical resistance, 'mho' is a less common term that may require some knowledge of electrical units to anchor on."
"pos","sop","3","Very Hard","Both words are very obscure, and neither definition is a natural giveaway. A player needs to be familiar with UK slang and agricultural terms to find an anchor."
"nor","ron","3","Very Hard","Both words are somewhat familiar, but neither definition is immediately obvious. A player needs some domain knowledge or vocabulary to find an anchor."
"nus","sun","3","Very Hard","The definition of 'nus' is obscure and technical, making it hard to anchor on. The definition of 'sun' is easy, but the word itself is not immediately obvious."
"los","sol","3","Very Hard","The definition of 'los' is obscure and technical, making it hard to anchor on. The definition of 'sol' is also less familiar, making it harder to anchor on."
"six","xis","3","Very Hard","Neither definition is immediately obvious, and 'xis' is an obscure plural form."
"secret","terces","6","Very Hard","Neither definition is immediately obvious, and 'terces' is an obscure plural form."
"las","sal","3","Very Hard","Both words are obscure, and neither definition is a natural giveaway. A player needs significant domain knowledge or vocabulary to find an anchor."
"animal","lamina","6","Very Hard","Both words are relatively obscure, with 'animal' being a broad term and 'lamina' being a less common word."
"mos","som","3","Very Hard","Both words are relatively obscure, with 'mos' being a rare term and 'som' being a less common currency."
"notes","seton","5","Very Hard","Both words are relatively obscure, with 'notes' being a broad term and 'seton' being a less common medical term."
"mes","sem","3","Very Hard","Both words are obscure and require specialized knowledge to anchor on."
"deliver","reviled","7","Very Hard","Both words are obscure and require specialized knowledge to anchor on."
"ages","sega","4","Very Hard","Neither definition is immediately obvious, and the words are not commonly known. The definition of 'ages' is hyperbolic, and 'sega' is a music genre associated with Mauritius, making it difficult to anchor on either word."
"ate","eta","3","Very Hard","Neither definition is immediately obvious, and the words are not commonly known, making it hard to anchor on either one."
"fer","ref","3","Very Hard","Neither definition is immediately obvious, and the words are not commonly known, making it hard to anchor on either one."
"straw","warts","5","Very Hard","Neither definition is immediately clear, and the words are not well-known."
"harris","sirrah","6","Very Hard","Both definitions are obscure and require specialized knowledge, making it difficult to anchor on either word."
"pus","sup","3","Very Hard","Both definitions are technical and not immediately obvious, making it a very hard puzzle."
"lev","vel","3","Very Hard","Both words are very obscure, and the definitions are not immediately recognizable, making it extremely hard to anchor on either word."
"ark","kra","3","Very Hard","Both words are extremely obscure, and the definitions are not immediately obvious."
"amor","roma","4","Very Hard","Both definitions are somewhat obscure, and neither word is immediately recognizable."
"mut","tum","3","Very Hard","Both words are relatively obscure, and their definitions do not provide an immediate anchor for the puzzle."
"dag","gad","3","Very Hard","Both words are relatively obscure, and their definitions do not provide an immediate anchor for the puzzle."
"cor","roc","3","Very Hard","Both words are relatively obscure, and their definitions do not provide an immediate anchor for the puzzle."
"fir","rif","3","Very Hard","The definition of 'fir' is somewhat obscure, and the definition of 'rif' is not immediately obvious, making it very hard to anchor on either word."
"sonnet","tennos","6","Very Hard","The definition of 'sonnet' is somewhat technical and poetic, and the definition of 'tennos' is not immediately obvious, making it very hard to anchor on either word."
"bog","gob","3","Very Hard","The definition of 'bog' is not easily guessable, and 'gob' is an obscure word that requires domain knowledge to anchor."
"girt","trig","4","Very Hard","The definition of 'girt' is not easily guessable, and 'trig' is an obscure word that requires domain knowledge to anchor."
"lin","nil","3","Very Hard","The definition for 'lin' is dialectal and not widely known, making it difficult for players to anchor on. The definition for 'nil' is clear, but the word itself is not immediately recognizable."
"hap","pah","3","Very Hard","The definition for 'hap' is not immediately obvious, and the word itself is not widely known. The definition for 'pah' is clear, but the word itself is not immediately recognizable."
"langer","regnal","6","Very Hard","The definition for 'langer' is derogatory and not widely known, making it difficult for players to anchor on. The definition for 'regnal' is clear, but the word itself is not immediately recognizable."
"denier","reined","6","Very Hard","Both definitions are technical and not immediately recognizable. The words themselves are also not well-known."
"ats","sta","3","Very Hard","Both words are somewhat obscure, and neither definition is a natural giveaway."
"feer","reef","4","Very Hard","Both definitions are moderately difficult, and neither word is immediately obvious. The word 'feer' is an obscure agricultural term, and 'reef' is a common word but still hard to anchor on."
"larum","mural","5","Very Hard","The definition of 'larum' is obscure, and 'mural' is a less common term, making it very hard to anchor on and discover the less common term 'mural'."
"arak","kara","4","Very Hard","Both words are relatively obscure, and their definitions do not provide an immediate anchor for the player."
"agar","raga","4","Very Hard","The definition of 'agar' is technical and not immediately recognizable, while 'raga' is a term from Indian classical music that may not be familiar to all players."
"abas","saba","4","Very Hard","Both words are rare and the definitions are not immediately obvious."
"hales","selah","5","Very Hard","The definitions are not immediately obvious and the words are rare."
"ayr","rya","3","Very Hard","The words are rare and the definitions are not immediately obvious."
"camus","sumac","5","Very Hard","Both words are obscure, and neither definition is immediately obvious. The anchor is not clear."
"airts","stria","5","Very Hard","Both definitions are somewhat technical, and a typical adult English speaker may struggle to anchor on either 'airts' or 'stria'."
"dedal","laded","5","Very Hard","Both definitions are somewhat technical, and a typical adult English speaker may struggle to anchor on either 'dedal' or 'laded'."
"sakis","sikas","5","Very Hard","Both definitions are somewhat technical, and a typical adult English speaker may struggle to anchor on either 'sakis' or 'sikas'."
"bots","stob","4","Very Hard","Both definitions are somewhat obscure and may require specialized knowledge to understand."
"atp","pta","3","Very Hard","The definition of 'atp' is internet slang, making it hard to anchor on. The word 'pta' is also not well-known."
"kor","rok","3","Very Hard","Both words are historical or archaic units of measure, making it difficult for players to anchor on either one."
"dis","sid","3","Insane","Neither definition is immediately clear, and the words are not well-known. The definition of 'dis' is nonstandard and dialectical."
"stu","uts","3","Insane","Both words are extremely obscure and the definitions are not helpful for finding an anchor."
"pow","wop","3","Insane","Both words have complex or potentially off-putting definitions, with 'wop' being an ethnic slur and 'pow' being a sound that may not be immediately recognizable as a word."
